Tonic,Scale_Type,FL_Stamp,Degree,Roman,PitchClass,MIDI,Frequency_Hz,Semitone_Offset,Cents_from_Tonic,ET_Ratio,Interval_Label,Hue_deg,Color_Name,Hex,Emotion_Primary,Valence,Arousal
C,Ionian (Major),Major,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Ionian (Major),Major,2,II,D,62,293.66477,2,200,2^(2/12),M2,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
C,Ionian (Major),Major,3,III,E,64,329.62756,4,400,2^(4/12),M3,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
C,Ionian (Major),Major,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Ionian (Major),Major,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Ionian (Major),Major,6,VI,A,69,440.0,9,900,2^(9/12),M6,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
C,Ionian (Major),Major,7,VII,B,71,493.8833,11,1100,2^(11/12),M7,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
C,Dorian,Dorian,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Dorian,Dorian,2,II,D,62,293.66477,2,200,2^(2/12),M2,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
C,Dorian,Dorian,3,III,D#,63,311.12698,3,300,2^(3/12),m3,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
C,Dorian,Dorian,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Dorian,Dorian,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Dorian,Dorian,6,VI,A,69,440.0,9,900,2^(9/12),M6,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
C,Dorian,Dorian,7,VII,A#,70,466.16376,10,1000,2^(10/12),m7,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
C,Phrygian,Phrygian,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Phrygian,Phrygian,2,II,C#,61,277.18263,1,100,2^(1/12),m2,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
C,Phrygian,Phrygian,3,III,D#,63,311.12698,3,300,2^(3/12),m3,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
C,Phrygian,Phrygian,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Phrygian,Phrygian,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Phrygian,Phrygian,6,VI,G#,68,415.3047,8,800,2^(8/12),m6,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
C,Phrygian,Phrygian,7,VII,A#,70,466.16376,10,1000,2^(10/12),m7,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
C,Lydian,Lydian,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Lydian,Lydian,2,II,D,62,293.66477,2,200,2^(2/12),M2,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
C,Lydian,Lydian,3,III,E,64,329.62756,4,400,2^(4/12),M3,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
C,Lydian,Lydian,4,IV,F#,66,369.99442,6,600,2^(6/12),TT,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
C,Lydian,Lydian,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Lydian,Lydian,6,VI,A,69,440.0,9,900,2^(9/12),M6,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
C,Lydian,Lydian,7,VII,B,71,493.8833,11,1100,2^(11/12),M7,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
C,Mixolydian,Mixolydian,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Mixolydian,Mixolydian,2,II,D,62,293.66477,2,200,2^(2/12),M2,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
C,Mixolydian,Mixolydian,3,III,E,64,329.62756,4,400,2^(4/12),M3,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
C,Mixolydian,Mixolydian,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Mixolydian,Mixolydian,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Mixolydian,Mixolydian,6,VI,A,69,440.0,9,900,2^(9/12),M6,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
C,Mixolydian,Mixolydian,7,VII,A#,70,466.16376,10,1000,2^(10/12),m7,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
C,Aeolian (Natural Minor),Natural Minor,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Aeolian (Natural Minor),Natural Minor,2,II,D,62,293.66477,2,200,2^(2/12),M2,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
C,Aeolian (Natural Minor),Natural Minor,3,III,D#,63,311.12698,3,300,2^(3/12),m3,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
C,Aeolian (Natural Minor),Natural Minor,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Aeolian (Natural Minor),Natural Minor,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Aeolian (Natural Minor),Natural Minor,6,VI,G#,68,415.3047,8,800,2^(8/12),m6,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
C,Aeolian (Natural Minor),Natural Minor,7,VII,A#,70,466.16376,10,1000,2^(10/12),m7,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
C,Locrian,Locrian,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Locrian,Locrian,2,II,C#,61,277.18263,1,100,2^(1/12),m2,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
C,Locrian,Locrian,3,III,D#,63,311.12698,3,300,2^(3/12),m3,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
C,Locrian,Locrian,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Locrian,Locrian,5,V,F#,66,369.99442,6,600,2^(6/12),TT,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
C,Locrian,Locrian,6,VI,G#,68,415.3047,8,800,2^(8/12),m6,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
C,Locrian,Locrian,7,VII,A#,70,466.16376,10,1000,2^(10/12),m7,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
C,Harmonic Minor,Harmonic Minor,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Harmonic Minor,Harmonic Minor,2,II,D,62,293.66477,2,200,2^(2/12),M2,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
C,Harmonic Minor,Harmonic Minor,3,III,D#,63,311.12698,3,300,2^(3/12),m3,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
C,Harmonic Minor,Harmonic Minor,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Harmonic Minor,Harmonic Minor,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Harmonic Minor,Harmonic Minor,6,VI,G#,68,415.3047,8,800,2^(8/12),m6,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
C,Harmonic Minor,Harmonic Minor,7,VII,B,71,493.8833,11,1100,2^(11/12),M7,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
C,Melodic Minor (Ascending),Melodic Minor,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Melodic Minor (Ascending),Melodic Minor,2,II,D,62,293.66477,2,200,2^(2/12),M2,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
C,Melodic Minor (Ascending),Melodic Minor,3,III,D#,63,311.12698,3,300,2^(3/12),m3,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
C,Melodic Minor (Ascending),Melodic Minor,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Melodic Minor (Ascending),Melodic Minor,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Melodic Minor (Ascending),Melodic Minor,6,VI,A,69,440.0,9,900,2^(9/12),M6,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
C,Melodic Minor (Ascending),Melodic Minor,7,VII,B,71,493.8833,11,1100,2^(11/12),M7,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
C,Melodic Minor (Descending=Nat),Natural Minor,1,I,C,60,261.62557,0,0,2^(0/12),P1,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
C,Melodic Minor (Descending=Nat),Natural Minor,2,II,D,62,293.66477,2,200,2^(2/12),M2,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
C,Melodic Minor (Descending=Nat),Natural Minor,3,III,D#,63,311.12698,3,300,2^(3/12),m3,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
C,Melodic Minor (Descending=Nat),Natural Minor,4,IV,F,65,349.22823,5,500,2^(5/12),P4,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
C,Melodic Minor (Descending=Nat),Natural Minor,5,V,G,67,391.99544,7,700,2^(7/12),P5,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
C,Melodic Minor (Descending=Nat),Natural Minor,6,VI,G#,68,415.3047,8,800,2^(8/12),m6,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
C,Melodic Minor (Descending=Nat),Natural Minor,7,VII,A#,70,466.16376,10,1000,2^(10/12),m7,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
G,Ionian (Major),Major,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Ionian (Major),Major,2,II,A,69,440.0,2,200,2^(2/12),M2,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
G,Ionian (Major),Major,3,III,B,71,493.8833,4,400,2^(4/12),M3,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
G,Ionian (Major),Major,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Ionian (Major),Major,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Ionian (Major),Major,6,VI,E,76,659.25511,9,900,2^(9/12),M6,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
G,Ionian (Major),Major,7,VII,F#,78,739.98885,11,1100,2^(11/12),M7,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
G,Dorian,Dorian,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Dorian,Dorian,2,II,A,69,440.0,2,200,2^(2/12),M2,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
G,Dorian,Dorian,3,III,A#,70,466.16376,3,300,2^(3/12),m3,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
G,Dorian,Dorian,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Dorian,Dorian,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Dorian,Dorian,6,VI,E,76,659.25511,9,900,2^(9/12),M6,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
G,Dorian,Dorian,7,VII,F,77,698.45646,10,1000,2^(10/12),m7,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
G,Phrygian,Phrygian,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Phrygian,Phrygian,2,II,G#,68,415.3047,1,100,2^(1/12),m2,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
G,Phrygian,Phrygian,3,III,A#,70,466.16376,3,300,2^(3/12),m3,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
G,Phrygian,Phrygian,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Phrygian,Phrygian,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Phrygian,Phrygian,6,VI,D#,75,622.25397,8,800,2^(8/12),m6,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
G,Phrygian,Phrygian,7,VII,F,77,698.45646,10,1000,2^(10/12),m7,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
G,Lydian,Lydian,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Lydian,Lydian,2,II,A,69,440.0,2,200,2^(2/12),M2,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
G,Lydian,Lydian,3,III,B,71,493.8833,4,400,2^(4/12),M3,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
G,Lydian,Lydian,4,IV,C#,73,554.36526,6,600,2^(6/12),TT,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
G,Lydian,Lydian,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Lydian,Lydian,6,VI,E,76,659.25511,9,900,2^(9/12),M6,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
G,Lydian,Lydian,7,VII,F#,78,739.98885,11,1100,2^(11/12),M7,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
G,Mixolydian,Mixolydian,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Mixolydian,Mixolydian,2,II,A,69,440.0,2,200,2^(2/12),M2,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
G,Mixolydian,Mixolydian,3,III,B,71,493.8833,4,400,2^(4/12),M3,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
G,Mixolydian,Mixolydian,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Mixolydian,Mixolydian,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Mixolydian,Mixolydian,6,VI,E,76,659.25511,9,900,2^(9/12),M6,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
G,Mixolydian,Mixolydian,7,VII,F,77,698.45646,10,1000,2^(10/12),m7,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
G,Aeolian (Natural Minor),Natural Minor,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Aeolian (Natural Minor),Natural Minor,2,II,A,69,440.0,2,200,2^(2/12),M2,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
G,Aeolian (Natural Minor),Natural Minor,3,III,A#,70,466.16376,3,300,2^(3/12),m3,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
G,Aeolian (Natural Minor),Natural Minor,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Aeolian (Natural Minor),Natural Minor,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Aeolian (Natural Minor),Natural Minor,6,VI,D#,75,622.25397,8,800,2^(8/12),m6,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
G,Aeolian (Natural Minor),Natural Minor,7,VII,F,77,698.45646,10,1000,2^(10/12),m7,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
G,Locrian,Locrian,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Locrian,Locrian,2,II,G#,68,415.3047,1,100,2^(1/12),m2,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
G,Locrian,Locrian,3,III,A#,70,466.16376,3,300,2^(3/12),m3,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
G,Locrian,Locrian,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Locrian,Locrian,5,V,C#,73,554.36526,6,600,2^(6/12),TT,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
