Tonic,Scale_Type,Degree,Roman,Triad,Seventh,Chord_Tones_Triad,Chord_Tones_7th,Intervals_Triad,Intervals_7th
C,Ionian (Major),1,I,Maj,Maj7,C-E-G,C-E-G-B,"4,7","4,7,11"
C,Ionian (Major),2,ii,min,min7,D-F-A,D-F-A-C,"3,7","3,7,10"
C,Ionian (Major),3,iii,min,min7,E-G-B,E-G-B-D,"3,7","3,7,10"
C,Ionian (Major),4,IV,Maj,Maj7,F-A-C,F-A-C-E,"4,7","4,7,11"
C,Ionian (Major),5,V,Maj,7,G-B-D,G-B-D-F,"4,7","4,7,10"
C,Ionian (Major),6,vi,min,min7,A-C-E,A-C-E-G,"3,7","3,7,10"
C,Ionian (Major),7,vii°,dim,m7♭5,B-D-F,B-D-F-A,"3,6","3,6,10"
C,Dorian,1,i,min,min7,C-D#-G,C-D#-G-A#,"3,7","3,7,10"
C,Dorian,2,ii,min,min7,D-F-A,D-F-A-C,"3,7","3,7,10"
C,Dorian,3,III,Maj,Maj7,D#-G-A#,D#-G-A#-D,"4,7","4,7,11"
C,Dorian,4,IV,Maj,7,F-A-C,F-A-C-D#,"4,7","4,7,10"
C,Dorian,5,v,min,min7,G-A#-D,G-A#-D-F,"3,7","3,7,10"
C,Dorian,6,vi°,dim,m7♭5,A-C-D#,A-C-D#-G,"3,6","3,6,10"
C,Dorian,7,VII,Maj,Maj7,A#-D-F,A#-D-F-A,"4,7","4,7,11"
C,Phrygian,1,i,min,min7,C-D#-G,C-D#-G-A#,"3,7","3,7,10"
C,Phrygian,2,II,Maj,Maj7,C#-F-G#,C#-F-G#-C,"4,7","4,7,11"
C,Phrygian,3,III,Maj,7,D#-G-A#,D#-G-A#-C#,"4,7","4,7,10"
C,Phrygian,4,iv,min,min7,F-G#-C,F-G#-C-D#,"3,7","3,7,10"
C,Phrygian,5,v°,dim,m7♭5,G-A#-C#,G-A#-C#-F,"3,6","3,6,10"
C,Phrygian,6,VI,Maj,Maj7,G#-C-D#,G#-C-D#-G,"4,7","4,7,11"
C,Phrygian,7,vii,min,min7,A#-C#-F,A#-C#-F-G#,"3,7","3,7,10"
C,Lydian,1,I,Maj,Maj7,C-E-G,C-E-G-B,"4,7","4,7,11"
C,Lydian,2,II,Maj,7,D-F#-A,D-F#-A-C,"4,7","4,7,10"
C,Lydian,3,iii,min,min7,E-G-B,E-G-B-D,"3,7","3,7,10"
C,Lydian,4,iv°,dim,m7♭5,F#-A-C,F#-A-C-E,"3,6","3,6,10"
C,Lydian,5,V,Maj,Maj7,G-B-D,G-B-D-F#,"4,7","4,7,11"
C,Lydian,6,vi,min,min7,A-C-E,A-C-E-G,"3,7","3,7,10"
C,Lydian,7,vii,min,min7,B-D-F#,B-D-F#-A,"3,7","3,7,10"
C,Mixolydian,1,I,Maj,7,C-E-G,C-E-G-A#,"4,7","4,7,10"
C,Mixolydian,2,ii,min,min7,D-F-A,D-F-A-C,"3,7","3,7,10"
C,Mixolydian,3,iii°,dim,m7♭5,E-G-A#,E-G-A#-D,"3,6","3,6,10"
C,Mixolydian,4,IV,Maj,Maj7,F-A-C,F-A-C-E,"4,7","4,7,11"
C,Mixolydian,5,v,min,min7,G-A#-D,G-A#-D-F,"3,7","3,7,10"
C,Mixolydian,6,vi,min,min7,A-C-E,A-C-E-G,"3,7","3,7,10"
C,Mixolydian,7,VII,Maj,Maj7,A#-D-F,A#-D-F-A,"4,7","4,7,11"
C,Aeolian (Natural Minor),1,i,min,min7,C-D#-G,C-D#-G-A#,"3,7","3,7,10"
C,Aeolian (Natural Minor),2,ii°,dim,m7♭5,D-F-G#,D-F-G#-C,"3,6","3,6,10"
C,Aeolian (Natural Minor),3,III,Maj,Maj7,D#-G-A#,D#-G-A#-D,"4,7","4,7,11"
C,Aeolian (Natural Minor),4,iv,min,min7,F-G#-C,F-G#-C-D#,"3,7","3,7,10"
C,Aeolian (Natural Minor),5,v,min,min7,G-A#-D,G-A#-D-F,"3,7","3,7,10"
C,Aeolian (Natural Minor),6,VI,Maj,Maj7,G#-C-D#,G#-C-D#-G,"4,7","4,7,11"
C,Aeolian (Natural Minor),7,VII,Maj,7,A#-D-F,A#-D-F-G#,"4,7","4,7,10"
C,Locrian,1,i°,dim,m7♭5,C-D#-F#,C-D#-F#-A#,"3,6","3,6,10"
C,Locrian,2,II,Maj,Maj7,C#-F-G#,C#-F-G#-C,"4,7","4,7,11"
C,Locrian,3,iii,min,min7,D#-F#-A#,D#-F#-A#-C#,"3,7","3,7,10"
C,Locrian,4,iv,min,min7,F-G#-C,F-G#-C-D#,"3,7","3,7,10"
C,Locrian,5,V,Maj,Maj7,F#-A#-C#,F#-A#-C#-F,"4,7","4,7,11"
C,Locrian,6,VI,Maj,7,G#-C-D#,G#-C-D#-F#,"4,7","4,7,10"
C,Locrian,7,vii,min,min7,A#-C#-F,A#-C#-F-G#,"3,7","3,7,10"
C,Harmonic Minor,1,i,min,mMaj7,C-D#-G,C-D#-G-B,"3,7","3,7,11"
C,Harmonic Minor,2,ii°,dim,m7♭5,D-F-G#,D-F-G#-C,"3,6","3,6,10"
C,Harmonic Minor,3,III+,aug,Maj7♯5,D#-G-B,D#-G-B-D,"4,8","4,8,11"
C,Harmonic Minor,4,iv,min,min7,F-G#-C,F-G#-C-D#,"3,7","3,7,10"
C,Harmonic Minor,5,V,Maj,7,G-B-D,G-B-D-F,"4,7","4,7,10"
C,Harmonic Minor,6,VI,Maj,Maj7,G#-C-D#,G#-C-D#-G,"4,7","4,7,11"
C,Harmonic Minor,7,vii°,dim,dim7,B-D-F,B-D-F-G#,"3,6","3,6,9"
C,Melodic Minor (Ascending),1,i,min,mMaj7,C-D#-G,C-D#-G-B,"3,7","3,7,11"
C,Melodic Minor (Ascending),2,ii,min,min7,D-F-A,D-F-A-C,"3,7","3,7,10"
C,Melodic Minor (Ascending),3,III+,aug,Maj7♯5,D#-G-B,D#-G-B-D,"4,8","4,8,11"
C,Melodic Minor (Ascending),4,IV,Maj,7,F-A-C,F-A-C-D#,"4,7","4,7,10"
C,Melodic Minor (Ascending),5,V,Maj,7,G-B-D,G-B-D-F,"4,7","4,7,10"
C,Melodic Minor (Ascending),6,vi°,dim,m7♭5,A-C-D#,A-C-D#-G,"3,6","3,6,10"
C,Melodic Minor (Ascending),7,vii°,dim,m7♭5,B-D-F,B-D-F-A,"3,6","3,6,10"
C,Melodic Minor (Descending=Nat),1,i,min,min7,C-D#-G,C-D#-G-A#,"3,7","3,7,10"
C,Melodic Minor (Descending=Nat),2,ii°,dim,m7♭5,D-F-G#,D-F-G#-C,"3,6","3,6,10"
C,Melodic Minor (Descending=Nat),3,III,Maj,Maj7,D#-G-A#,D#-G-A#-D,"4,7","4,7,11"
C,Melodic Minor (Descending=Nat),4,iv,min,min7,F-G#-C,F-G#-C-D#,"3,7","3,7,10"
C,Melodic Minor (Descending=Nat),5,v,min,min7,G-A#-D,G-A#-D-F,"3,7","3,7,10"
C,Melodic Minor (Descending=Nat),6,VI,Maj,Maj7,G#-C-D#,G#-C-D#-G,"4,7","4,7,11"
C,Melodic Minor (Descending=Nat),7,VII,Maj,7,A#-D-F,A#-D-F-G#,"4,7","4,7,10"
G,Ionian (Major),1,I,Maj,Maj7,C-E-G,C-E-G-B,"4,7","4,7,11"
G,Ionian (Major),2,ii,min,min7,D-F-A,D-F-A-C,"3,7","3,7,10"
G,Ionian (Major),3,iii,min,min7,E-G-B,E-G-B-D,"3,7","3,7,10"
G,Ionian (Major),4,IV,Maj,Maj7,F-A-C,F-A-C-E,"4,7","4,7,11"
G,Ionian (Major),5,V,Maj,7,G-B-D,G-B-D-F,"4,7","4,7,10"
G,Ionian (Major),6,vi,min,min7,A-C-E,A-C-E-G,"3,7","3,7,10"
G,Ionian (Major),7,vii°,dim,m7♭5,B-D-F,B-D-F-A,"3,6","3,6,10"
G,Dorian,1,i,min,min7,C-D#-G,C-D#-G-A#,"3,7","3,7,10"
G,Dorian,2,ii,min,min7,D-F-A,D-F-A-C,"3,7","3,7,10"
G,Dorian,3,III,Maj,Maj7,D#-G-A#,D#-G-A#-D,"4,7","4,7,11"
G,Dorian,4,IV,Maj,7,F-A-C,F-A-C-D#,"4,7","4,7,10"
G,Dorian,5,v,min,min7,G-A#-D,G-A#-D-F,"3,7","3,7,10"
G,Dorian,6,vi°,dim,m7♭5,A-C-D#,A-C-D#-G,"3,6","3,6,10"
G,Dorian,7,VII,Maj,Maj7,A#-D-F,A#-D-F-A,"4,7","4,7,11"
G,Phrygian,1,i,min,min7,C-D#-G,C-D#-G-A#,"3,7","3,7,10"
G,Phrygian,2,II,Maj,Maj7,C#-F-G#,C#-F-G#-C,"4,7","4,7,11"
G,Phrygian,3,III,Maj,7,D#-G-A#,D#-G-A#-C#,"4,7","4,7,10"
G,Phrygian,4,iv,min,min7,F-G#-C,F-G#-C-D#,"3,7","3,7,10"
G,Phrygian,5,v°,dim,m7♭5,G-A#-C#,G-A#-C#-F,"3,6","3,6,10"
G,Phrygian,6,VI,Maj,Maj7,G#-C-D#,G#-C-D#-G,"4,7","4,7,11"
G,Phrygian,7,vii,min,min7,A#-C#-F,A#-C#-F-G#,"3,7","3,7,10"
G,Lydian,1,I,Maj,Maj7,C-E-G,C-E-G-B,"4,7","4,7,11"
G,Lydian,2,II,Maj,7,D-F#-A,D-F#-A-C,"4,7","4,7,10"
G,Lydian,3,iii,min,min7,E-G-B,E-G-B-D,"3,7","3,7,10"
G,Lydian,4,iv°,dim,m7♭5,F#-A-C,F#-A-C-E,"3,6","3,6,10"
G,Lydian,5,V,Maj,Maj7,G-B-D,G-B-D-F#,"4,7","4,7,11"
G,Lydian,6,vi,min,min7,A-C-E,A-C-E-G,"3,7","3,7,10"
G,Lydian,7,vii,min,min7,B-D-F#,B-D-F#-A,"3,7","3,7,10"
G,Mixolydian,1,I,Maj,7,C-E-G,C-E-G-A#,"4,7","4,7,10"
G,Mixolydian,2,ii,min,min7,D-F-A,D-F-A-C,"3,7","3,7,10"
G,Mixolydian,3,iii°,dim,m7♭5,E-G-A#,E-G-A#-D,"3,6","3,6,10"
